Frequency (Hz),OL Magnitude (dB),OL Phase (Deg),Plant Magnitude (dB),Plant Phase (Deg)
5956.75048828125,-9.56208801269531,-157.439239501953,-15.4686889648438,-125.262832641602
6309.7119140625,-10.0649261474609,-161.494964599609,-15.8317108154297,-128.539566040039
6683.587890625,-10.6899719238281,-165.624984741211,-16.3053894042969,-131.830307006836
7079.61767578125,-11.3301239013672,-169.493606567383,-16.7843780517578,-134.833404541016
7499.11376953125,-12.0206298828125,-173.157638549805,-17.3009948730469,-137.607437133789
7943.466796875,-12.7122039794922,-176.902114868164,-17.8059539794922,-140.435684204102
8414.1494140625,-13.4468536376953,179.471557617188,-18.3420715332031,-143.134536743164
8912.7216796875,-14.3712921142578,175.731460571289,-19.0536499023438,-145.939178466797
9440.8369140625,-14.9659729003906,171.844482421875,-19.4214477539063,-148.884567260742
10000.2451171875,-15.6587371826172,167.839477539063,-19.8757781982422,-151.963729858398
10592.7998046875,-16.6165771484375,163.816116333008,-20.5804748535156,-155.070861816406
11220.4658203125,-17.4182891845703,159.637130737305,-21.1151275634766,-158.345855712891
11885.32421875,-18.1631469726563,155.291168212891,-21.5793914794922,-161.83154296875
12589.578125,-18.9791717529297,150.800064086914,-22.1019897460938,-165.503463745117
13335.5615234375,-20.0406494140625,145.9951171875,-22.8582305908203,-169.518081665039
14125.7470703125,-20.8817291259766,140.765258789063,-23.3820190429688,-174.016174316406
14962.7548828125,-21.5762176513672,136.075714111328,-23.7434387207031,-178.036041259766
15849.3583984375,-22.3120574951172,130.614181518555,-24.1419830322266,177.12678527832
16788.49609375,-23.1294097900391,125.598526000977,-24.6046600341797,172.642684936523
17783.283203125,-24.1185150146484,119.681518554688,-25.2326202392578,167.165420532227
18837.015625,-24.9234161376953,113.641220092773,-25.6694641113281,161.496688842773
19953.185546875,-25.8625640869141,107.61491394043,-26.2294158935547,155.751907348633
21135.4921875,-26.5783843994141,101.20393371582,-26.5558624267578,149.448455810547
22387.85546875,-27.5841979980469,95.3245086669922,-27.1720123291016,143.730773925781
23714.42578125,-28.6462097167969,88.2735748291016,-27.8385467529297,136.616882324219
25119.6015625,-29.8357238769531,81.4796600341797,-28.6210327148438,129.705825805664
26608.0390625,-31.1905059814453,73.2414703369141,-29.572509765625,121.207107543945
28184.673828125,-32.2526550292969,66.2901916503906,-30.2225952148438,113.92448425293
29854.73046875,-33.3637084960938,57.1016845703125,-30.9206695556641,104.192169189453
